subject_as_recorded,source_authority_uri,authorized_label,structured_value
Prayer--Islam--Early works to 1800,"",Prayer--Islam;Early works,http://id.worldcat.org/fast/1074698;http://id.worldcat.org/fast/1411636
Real property--England--Suffolk,"",Real property;England;England--Suffolk,http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1212535
Real property--England--Warwickshire,"",Real property;England;England--Warwickshire,http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1212375
Religious ethics--Early works to 1800,"",Religious ethics;Early works,http://id.worldcat.org/fast/1094052;http://id.worldcat.org/fast/1411636
Religious life--Islam--Early works to 1800,"",Religious life--Islam;Early works,http://id.worldcat.org/fast/1094119;http://id.worldcat.org/fast/1411636
Religious life--Shīʻah--Early works to 1800,"",Religious life--Islam;Early works,http://id.worldcat.org/fast/1094119;http://id.worldcat.org/fast/1411636
Rithmomachia (Game),"",Rithmomachia (Game),http://id.worldcat.org/fast/1741843
"Rome--History--Civil War, 43-31 B.C","",Italy--Rome;History;Roman Civil War (Rome : 43-31 B.C.),http://id.worldcat.org/fast/1204500;http://id.worldcat.org/fast/1411628;http://id.worldcat.org/fast/1352313
Sacrifice--Hinduism,"",Sacrifice--Hinduism,http://id.worldcat.org/fast/1103254
Saudi Arabia--Mecca,"",Saudi Arabia--Mecca,http://id.worldcat.org/fast/1204780
Sermoneta (Italy),"",Italy--Sermoneta,http://id.worldcat.org/fast/1267886
Shiites--Customs and practices--Early works to 1800,"",Shīʻah--Customs and practices;Early works,http://id.worldcat.org/fast/1117947;http://id.worldcat.org/fast/1411636
Shīʻah--Customs and practices--Early works to 1800,"",Shīʻah--Customs and practices;Early works,http://id.worldcat.org/fast/1117947;http://id.worldcat.org/fast/1411636
Shīʻah--Doctrines--Early works to 1800,"",Shīʻah--Doctrines;Early works,http://id.worldcat.org/fast/1117948;http://id.worldcat.org/fast/1411636
Shīʻah--Miscellanea--Early works to 1800,"",Shīʻah;Miscellanea;Early works,http://id.worldcat.org/fast/1117946;http://id.worldcat.org/fast/1353832;http://id.worldcat.org/fast/1411636
"Spain--History--Charles I, 1516-1556","",Spain;History;1516-1556,http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1411628;http://id.worldcat.org/fast/1355580
"Spain--History--Philip II, 1556-1598","",Spain;History;1556-1598,http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1411628;http://id.worldcat.org/fast/1355603
Spiritual life--Catholic Church--Early works to 1800,"",Spiritual life--Catholic Church;Early works,http://id.worldcat.org/fast/1130109;http://id.worldcat.org/fast/1411636
Storytelling,"",Storytelling,http://id.worldcat.org/fast/1134169
Šibenik (Croatia),"",Croatia--Šibenik,http://id.worldcat.org/fast/1224473
Talismans--Religious aspects--Early works to 1800,"",Talismans;Early works,http://id.worldcat.org/fast/1142279;http://id.worldcat.org/fast/1411636
Tamazight poetry--Morocco--Texts,"",Tamazight poetry;Morocco;Texts,http://id.worldcat.org/fast/1142403;http://id.worldcat.org/fast/1205592;http://id.worldcat.org/fast/1423705
Taxation--Italy--Barga,"",Taxation;Italy;Italy--Barga,http://id.worldcat.org/fast/1143876;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1235479
Textile industry--France--Early works to 1800,"",Textile industry;France;Early works,http://id.worldcat.org/fast/1148828;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1411636
Textile industry--Italy--Early works to 1800,"",Textile industry;Italy;Early works,http://id.worldcat.org/fast/1148828;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1411636
Theseus (Greek mythology) in literature,"","Theseus, King of Athens",http://id.worldcat.org/fast/1149949
